Valoracion,Comentario
1,da un tono bronceado precioso no reseca nada ni mancha obvio que depende de la cantidad que uses una compra maravillosa
1,da un color muy natural el unico defecto es que si te tocas la cara se manchan las manos y mancharas lo que toques cuando es un libro o folio o algo blanco dejas una senal
1,toda la vida buscando una base que se adapte a mi piely de prontoaparece estaidealperfectamejor con proteccion del 15 repetire sin duda
0,en la publicidad dicen que cubre imperfecciones es falso
1,super buena crema para las rojeces de la cara me calma y evita la descamacion
1,recomiendo
1,me lo recomendo un especialista y lo he notado a partir del tercer tratamiento en contra la duracion del envase a favor que es muy eficaz y responde al tratamiento lo recomiendo cien por cien
1,llevo bastante tiempo con rosacea esta crema junto con otros productos especificos para la rosacea como el limpiador y el tonico me estan ayudando a controlarla y que las rojeces vayan disminuyendo es u proceso largo los resultados no se ven al instante hay que tener paciencia
1,llevo pocos dias usandola y ya he notado diferencia en invierno tengo mucho ardor en la cara con los cambios de temperatura y este invierno usando mascarilla mucho mas por el roce y en los dias que la he usado he notado bastante mejoria como punto en contra dire que se queda corta en hidratacion ya que despues de usarla tengo que darme la hidratante que uso habitualmente
1,es una crema facial aunque ponga corporal lo cual es importante para que pueda aplicarse en la cara
1,me la recomendo la dermatologa dentro de unos meses veremos si es eficaz para la rosacea
1,la mejor crema hasta ahora para rosacea ya la habia usado anteriormente pero nunca la habia encontrado tan barata
0,no se si solo me pasa a mi pero al echarmela por la manana y por la noche como indica el fabricante al estar dos dias seguidos haciendolo me quema literalmente la cara los pomulos se me quedan rojos hinchados y la sensacion es entre picor y dolor he probado varias veces y creo que es demasiado abrasiva
0,ha mejorada mi cara con esta crema
1,perfecta llevo anos usandola
1,ya habia usado esta crema anteriormente y siempre me ha dado muy buen resultado calma la piel y disminuye las rojeces funciona bastante bien
1,muy buena crema para la rosacea
1,me lo recomendo el dermatologo y ya hace seis meses que lo uso tanto el que tiene proteccion como el fast y observo una mejoria importante
0,el embalaje perfecto pero la caja de la crema estaba aplastada y rota
1,me encanta esta crema y la textura gel que tiene me enamora
1,he notado mejoria frente a otras cremas que eran mucho mas caras que esta todavia es demasiado pronto para dar una valoracion aun mas positiva
1,es muy buena para la piel
1,era el producto que yo queria y el resultado ha sido muy bueno y estoy muy satisfecha con el resultado
1,llego rapido y es mas barata que en la farmacia donde compro habitualmenteningun problema con nadamerece la pena y pa la rosacea va bastante bien aunque a mi no me quita del todo
1,me la recomendo la dermatologa para prevenir mi rosacea y funciona muy bien
1,una buena crema
1,producto excelente tal como se espera
1,excelente producto como siempre
1,todo segun lo indicado envio muy rapido
1,la mejor crema para la rosaceaningun otra crema me ha ido tan bienla recomiendo al 100 es un alivio haberla encontrado
1,es un producto q llevo usando con exito desde hace tiempo y el precio es buenisimo con respecto a las farmacias cerca de mi casa
1,muy buen precio y envio muy rapido
1,de todas las cremas que he probado la que mejor me va para mi cara tengo dermatitis
1,buena crema para las rojezas que salen a causa de la rosacea y a un precio muy competitivo comparado con parafarmacias
1,era para una persona con rosacea y a la vez dermatitis perioral y no sirve para las dos si hay brote conjunto
1,acabo de recogerlo y parece que todo esta correctome lo recomendaron para la rosaceaa ver que tal me va
0,es una de las mil cremas q he usado para la rosacea q me va bastante bien no me quita la rojez pero me mejora la erupcion de granitos el envio tardo unos dias y la caja vino rota menos mal q no es un producto q se pueda romper
1,super eficaz merece mucho la pena
1,no es una crema corporal sino facial
1,muy buen producto con resultados efectivos desde la primera aplicacion super recomendado
1,llevo anos usando estas cremas es mi primera vez en la de noche mas veinticuatro tiene un precio increible que puedo decir de unas cremas que no tienen nada que envidiarle a las de alta gama tengo cincuenta y cuatro anos y me echan 45 y no es por genetica mi hermana de 45 a 40 mas que yo y se echa otra gama que no es olay merece la pena si o si y mas teniendo la piel delicada como yo
1,me ha ido muy bien menos el precio a subido mas que en euribor
1,muy bua hidratacion y textura de las mejores cremas que he tenido
1,muy buenas cremas a un buen orecio
1,calidadprecio y suavidad
1,el producto te deja una piel muy suave se le nota que es de buena calidad  aprovechando su oferta pedi los dos frascos para dia y noche  los resultados ya se veran con un uso frecuente durante un tiempo
0,la olay regenerist se absorve facilmente pero a mitad de manana tengo la piel seca y el retinol escuece un poco
1,a mi madre le ha ido muy bien  hidrata mucho
1,lo compre para regalo y el resultado es que las cremas son buenisimas
1,son buenas
1,se notan mejorias en la piel inmediatamente define el rostro alisa la piel y disminuye los signos de envejecimiento de la piel totalmente recomendable
1,buenas en cuanto a relacion calidad precio
1,he esperado un tiempo para usar las cremas amtes de escribir la resena ypor el momentoestoy contenta noto la piel mas luminosa e hidratadaaunque no he visto mucha diferencia en la unificacion del tono tengo piel sensible y las tolero bien en mi opinion esta crema es muy recomendable a partir de los 30 y hasta las pieles mas maduras las recomiendo
1,muy buen precio para un producto de mucha calidad
1,son cremas que siempre compra mi madre y me dice que le sientan muy bien ya me dira para pedir otro par mas
1,suavidad y olor
1,todo bien
1,repito por segunda vez porque me han gustado mucho calidad y precio y el aroma es muy agradable
1,la verdad es que solo hace una semana que la uso pero despues de ponertela te queda la piel suave y no te queda la cara grasienta como hacen algunas cremas
1,a mi piel mixta le va fenomenal esta marca de cremas me deja la piel hidratada sin grasa y me aporta mas luminosidad me disimula las manchas de mi piel por la edad y mejora monis arrugas
1,pense que vendrian en un estuche chulo pero vienen simplemente en su caja
1,es de las cremas de toda la vida q mantienen muy bien el cutis buena calidad a poco precio
1,las compro para mi madre que ella las utiliza siempre olay de la caja roja y olay de la caja azul 24 horas ella esta muy contenta con ellas y asi en este pack las recomiendo
1,muy agradables a la piel y te la dejan muy bien la de dia ya la habia probado y la calidad es muy buena la de noche es la primera vez que la uso y calidad buena y te deja la pie muy bien
1,tienen un aroma muy neutro pero la calidad es muy buena las recomiendo
1,buen producto para un buen regalo
1,llevo usandolos solo dos semanas de momento contenta deja mi piel hidratante
1,no se ha podido cargar el contenido multimedia siempre me gusta olay
1,me encantan las cremas de esta marca y como siempre genial su calidad  piel super hidratada 
1,perfectas para el precio
1,al fin un producto prencintado
1,muy buen producto deja la piel aterciopelada y la sensacion es increible lo volvere a comprar
1,todo como esperaba
1,es la preferida de mi mjer
0,me han salido descamaciones rojeces y sarpullidos quema la piel o la descompensa a la basura me estoy aplicando argan y rosa mosqueta para recuperar la piel de las heridas y calmar los picores y poco a poco esta mejorando esta claro que han sido las cremas muy mala experiencia
0,la crema de retinol hincha la cara despues de aplicarla y despues te deja la piel como seca nada recomendable la del tarro rojo regenerist tan estupenda como siempre piel hidratada sobre todo para las que tenemos mas de 50 anitos 100 recomendable
0,tengo la piel mixta y la deja muy reseca no me ha gustado
1,estas cremas hace muuchos anos que las usa mi madre y con 53 anos tiene el rostro super de fino arrugas difuminadas piel tersa y luminosa y solo usando estas de la marca olay eso si hay que ser constante cada dia dia y noche para notar sus resultados por ese motivo las voy a empezar a usar yo que tengo 27 anos y ya toca cuidar la piel las pocas veces que le he robado un poquito para probar sinceramente me ha encantado van a ser mis cremas para toda la vida las voi a seguir comprando y las recomiendo un monton
1,lo compre por una oferta del pack duo y merece la pena el paquete me venia en perfectas condiciones
1,mi sobrina esta encantada con su espejo dice que tiene muy buena iluminacion y aumento
1,me gusta mucho que no tenga olor te deja la cara super suave y nada pegajosa el precio super bueno encantada con la compra
1,aunque son dos botecitos pequenos cunden muchisimo porque con una pequena cantidad se cubre toda la cara las dos cremas son muy faciles de extender la crema de noche azul me encanta deja la cara muy suave y se absorbe casi al instante la crema de dia roja no me gusta tanto porque aunque tambien deja la cara muy suave me deja la cara un poco grasienta no sabria decir si los resultados son los que se esperan porque no he notado ninguna diferencia grande en las arrugas de la cara quiza los resultados sean menos nitidos y no se notan tanto a primera vista
1,lo compre como regalo a mi mujer y esta encantada quede como un rey
1,la calidad precio esta muy bien  huele bien y te deja la cara fenomenal  animo a que la probeis
1,hace poco q las uso dianochepero me gustan mucho como dejan la piel sin grasa  son faciles de dar
1,se absorbe bien y el azul deja el rostro muy sedoso
1,me estan gustan mucho y me queda la piel muy bien
1,estoy encantada gracias
1,la uso a diario porque me deja la piel suave e hidratada mitigando los signos de cansancio se absorbe muy bien y no deja sensacion de grasa o brillo compre el formato grande para ahorrar en una de las ofertas de amazon
1,suelo usar cremas hidratantes de manera mas o menos habitual porque si no me hidrato adecuadamente la piel suelo tener epocas de picores y descamacion de la piel asi que como me tocaba reponer decidi probar esta crema de loreal entre otras opciones para el que quiere un resumen corto entre las cremas de un precio contenido me parece con diferencia la mejor principalmente por un par de aspectos lo primero es que se notan sus efectos de hidratacion en cuanto te la aplicas y el segundo aspecto que para mi es igual de importante porque su textura hace que la absorcion sea francamente buena y ademas la piel queda son sensacion de grasa ni brillos con este resumen creo que he dicho lo mas importante pero anadiria que ademas da bastante de si porque se absorbe muy bien con lo que una pequena cantidad es suficiente para rostro y cuello lo he usado ocasionalmente como aftershave y si bien no es lo ideal hay aftershaves que tienen un poder calmante bastante superior creo que al menos cumple si sales de viaje por ejemplo un fin de semana y no quieres llevar mas productos que le podria venir bien pues estaria muy bien si ofreciera algun tipo de factor de proteccion solar sobre todo si te la vas a aplicar por la manana pero bueno en mi caso me la suelo aplicar a las noches asi que creo tampoco me parece algo imprescindible en resumen de lo mejor que he probado en su rango de precio aporta una hidratacion notable entre las mejores en absorcion y la piel queda perfecta tras su aplicacion sin sensacion de grasa ni brillos muy recomendable
1,refresca la piel y buena me noto brad pit
1,la crema tiene un textura agradable y es fresca se absorbe relativamente bien siempre que no te eches demasiada cantidad si la pillas en oferta es una muy buena compra es recomendable usarla despues de algun limpiador facial
1,he comprado el producto por ser de buena calidad a un precio excepcional
1,practico y se puede llevar a cualquier lugar
1,a mis casi 50 tacos y por recomendacion de mi santa ando a la busqueda de una crema para la cara que la hidrate que ayude un poco con las arrugas y la deje suave he usado varias diferentes de esta marca y de otra muy conocida de precio similar y esta es la que mas me convence la uso por las manana antes de salir al trabajo huele bien se absorbe rapido y si noto un frescor y una sensacion revitalizante en la cara en las demas no siento apenas nada ni noto efectos especiales asi que seguire usandola ya que me resulta agradable y si veo los efectos a lo largo de la jornada
1,refresca y despeja
1,buen tamano y precio
1,me va muy bien despues del afeitado he usado otras marcas y cualidades y esta es la que mejor se me adapta
1,lo recomiendo 100deja la piel muy suave y delicada con buen olor
1,tiene buen olor y deja las manos muy suaves ya que mi trabajo es albanil y el cemento estropea las manos
